generation,evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_best_of_gen,elapsed_minutes
6,62,4.0,500,none,latest,mean,71.92155737876892,71.757,72.226,0.187,37798.07593833168,37635.99,37897.85,101.06,False,254.54
6,63,0.25,100,none,latest,mean,71.69184045791626,71.451,71.982,0.197,37927.28929536456,37762.01,38077.67,115.5,False,254.54
6,64,0.25,500,none,uniform,mean,72.20254378318786,71.73,72.589,0.307,37666.76625951832,37457.02,37906.83,156.89,False,260.89
6,65,0.5,100,none,latest,mean,72.23904438018799,71.986,72.76,0.284,37654.13726164842,37349.36,37772.04,156.64,False,267.24
6,66,0.25,1,none,zipfian,mean,72.14766788482666,72.019,72.263,0.089,37697.73848954699,37621.61,37790.44,67.42,False,267.24
7,67,0.25,100,none,latest,mean,71.69184045791626,71.451,71.982,0.197,37927.28929536456,37762.01,38077.67,115.5,True,267.24
7,68,0.25,1,none,latest,mean,71.97480659484863,71.468,72.608,0.443,37780.5125726016,37467.98,38061.82,242.66,False,267.24
7,69,4.0,500,none,uniform,mean,72.43694744110107,71.97,73.061,0.361,37519.65588416858,37184.44,37780.4,197.57,False,273.61
7,70,0.25,100,none,zipfian,mean,71.96359233856201,71.669,72.18,0.185,37808.4314679532,37705.28,37966.42,95.93,False,279.94
7,71,1.0,1,snappy,zipfian,mean,72.4622392654419,71.928,72.771,0.299,37496.73290695369,37318.33,37828.41,181.1,False,286.31
7,72,1.0,1,zstd,zipfian,mean,72.60318512916565,72.406,72.793,0.157,37468.48163440741,37321.59,37590.12,102.1,False,292.7
7,73,0.25,1,none,zipfian,mean,72.14766788482666,72.019,72.263,0.089,37697.73848954699,37621.61,37790.44,67.42,False,292.7
7,74,0.25,100,zstd,latest,mean,72.29388303756714,71.96,72.623,0.247,37604.36052509176,37431.83,37754.77,128.0,False,292.7
7,75,0.25,1,none,latest,mean,71.97480659484863,71.468,72.608,0.443,37780.5125726016,37467.98,38061.82,242.66,False,292.7
7,76,0.25,100,none,latest,mean,71.69184045791626,71.451,71.982,0.197,37927.28929536456,37762.01,38077.67,115.5,False,292.7
7,77,0.5,100,zstd,uniform,mean,72.6956699848175,72.341,73.007,0.245,37413.76188251157,37224.45,37585.71,126.28,False,299.09
8,78,0.25,100,none,latest,mean,71.69184045791626,71.451,71.982,0.197,37927.28929536456,37762.01,38077.67,115.5,True,299.09
8,79,0.25,1,zstd,uniform,mean,72.70208177566528,72.047,73.196,0.392,37424.28119399833,37159.61,37768.14,213.04,False,305.48
8,80,0.25,500,none,zipfian,mean,72.47298998832703,71.615,73.05,0.502,37535.88825437603,37243.95,38011.52,273.5,False,305.48
8,81,4.0,1,none,latest,mean,72.15479011535645,71.164,72.955,0.699,37693.00208469663,37271.6,38242.63,380.2,False,311.83
8,82,0.25,500,none,zipfian,mean,72.47298998832703,71.615,73.05,0.502,37535.88825437603,37243.95,38011.52,273.5,False,311.83
8,83,6.0,100,zstd,latest,mean,71.94504261016846,71.598,72.268,0.255,37826.80679550555,37664.23,38013.22,124.0,False,311.83
8,84,0.25,1,none,uniform,mean,72.02860045433044,71.262,72.556,0.434,37756.8955959239,37477.31,38167.37,235.01,False,318.16
8,85,0.25,100,snappy,latest,mean,71.89100742340088,71.596,72.434,0.329,37822.84409619248,37488.83,37990.09,185.55,False,318.16
8,86,0.25,100,none,uniform,mean,72.13677258491516,71.73,72.462,0.275,37693.19642404428,37521.8,37875.43,132.1,False,318.16
8,87,0.25,1,snappy,latest,mean,71.95195059776306,71.271,72.194,0.343,37813.269470659245,37660.35,38146.33,178.34,False,324.49
8,88,0.25,100,zstd,zipfian,mean,74.06701345443726,72.778,78.123,2.035,37225.92296485168,37104.14,37381.54,102.18,False,324.49
9,89,0.25,100,none,latest,mean,71.69184045791626,71.451,71.982,0.197,37927.28929536456,37762.01,38077.67,115.5,True,324.49
9,90,0.25,500,snappy,uniform,mean,72.09324703216552,71.79,72.478,0.239,37712.82419318674,37500.92,37872.06,127.87,False,324.49
