step,phase,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
47,BO,0.25,100,snappy,uniform,mean,72.19326410293579,72.057,72.352,0.126,37658.101293984044,37550.42,37774.83,84.17,298.59
48,BO,0.5,100,none,latest,mean,72.03258700370789,71.787,72.421,0.252,37745.67744095193,37535.56,37871.5,134.63,304.92
49,BO,0.25,100,snappy,zipfian,mean,72.34155740737916,72.084,72.481,0.151,37574.610895726146,37502.01,37712.5,77.41,311.29
50,BO,6.0,100,none,latest,mean,72.05326223373413,71.823,72.538,0.26,37745.80640462226,37495.97,37865.34,136.96,317.63
51,BO,8.0,1,snappy,latest,mean,71.66983695030213,71.575,71.785,0.081,37925.10189202927,37844.63,37982.76,53.29,323.94
52,BO,8.0,100,snappy,uniform,mean,72.55306520462037,71.919,73.338,0.539,37433.6708368289,36993.15,37779.29,298.98,330.32
53,BO,0.25,100,zstd,uniform,mean,73.11790461540222,72.646,73.455,0.29,37174.88870170512,37004.38,37376.08,135.2,336.75
54,BO,8.0,500,snappy,latest,mean,71.99097304344177,71.843,72.387,0.204,37758.66292832976,37522.9,37894.49,128.61,343.09
55,BO,2.0,1,zstd,latest,mean,71.97506065368653,71.518,72.482,0.324,37805.736920568874,37470.18,38040.33,195.11,349.42
56,BO,8.0,500,zstd,latest,mean,71.73103218078613,71.529,71.984,0.205,37960.27950774953,37801.6,38077.67,121.05,355.74
57,BO,6.0,500,zstd,latest,mean,71.91357254981995,71.457,72.274,0.329,37869.61434418118,37645.4,38164.52,207.6,362.07
58,BO,2.0,100,zstd,latest,mean,71.80572228431701,71.448,72.332,0.321,37923.6363461329,37613.32,38165.09,191.5,368.39
59,BO,1.0,100,zstd,latest,mean,72.14929513931274,71.753,72.658,0.291,37748.0823752088,37469.08,37956.29,157.61,374.74
60,BO,4.0,100,zstd,latest,mean,72.01064491271973,71.612,72.413,0.321,37813.151537880345,37591.78,38025.64,177.13,381.07
61,BO,8.0,500,zstd,uniform,mean,72.63952698707581,72.028,72.922,0.325,37445.46852839435,37304.19,37762.01,164.8,387.47
62,BO,2.0,1,snappy,zipfian,mean,72.17121777534484,71.893,72.305,0.149,37662.2393962157,37559.24,37872.06,112.89,393.82
63,BO,4.0,100,none,zipfian,mean,72.47775297164917,71.839,72.96,0.422,37519.880991333324,37222.83,37841.83,244.77,400.19
64,BO,4.0,500,zstd,latest,mean,72.06415495872497,71.3,72.623,0.462,37775.684472678804,37470.73,38210.67,257.56,406.54
65,BO,4.0,500,none,latest,mean,71.90909962654113,71.373,72.314,0.308,37835.09017258019,37598.4,38126.44,168.78,412.87
66,BO,4.0,500,snappy,latest,mean,72.05326704978943,71.346,72.64,0.462,37710.16893012468,37371.17,38093.54,250.91,419.21
67,BO,1.0,500,none,uniform,mean,72.56269536018371,71.948,73.011,0.412,37451.205156970675,37208.76,37779.29,221.64,425.59
68,BO,2.0,1,none,uniform,mean,72.48116073608398,71.984,73.035,0.336,37499.29658901783,37200.65,37778.17,184.44,431.97
69,BO,0.25,100,zstd,zipfian,mean,73.088330078125,72.741,73.455,0.23,37197.17841669305,37030.61,37349.91,107.54,438.4
70,BO,4.0,100,snappy,latest,mean,71.95625038146973,71.696,72.244,0.195,37782.90402350921,37595.64,37921.43,120.33,444.73
71,BO,0.25,500,none,zipfian,mean,72.49763717651368,72.253,72.609,0.132,37503.42414990228,37419.24,37656.47,86.95,451.11
72,BO,0.25,100,zstd,latest,mean,72.48908987045289,71.81,73.307,0.496,37521.386002633575,37067.07,37899.54,273.8,457.49
73,BO,8.0,500,snappy,zipfian,mean,72.23722500801087,71.971,72.572,0.223,37616.12794555767,37425.26,37745.31,119.28,463.84
74,BO,0.25,500,snappy,uniform,mean,72.15165300369263,71.279,72.651,0.476,37669.72299772091,37400.65,38139.51,255.75,470.19
75,BO,2.0,500,none,latest,mean,71.74882850646972,71.544,71.918,0.132,37926.80265349447,37867.58,38021.68,58.48,476.51
76,BO,1.0,500,snappy,zipfian,mean,72.3402931213379,71.958,73.538,0.602,37559.948753733406,36930.18,37754.77,316.24,482.88
77,BO,6.0,500,none,latest,mean,71.95067501068115,71.701,72.129,0.187,37796.521113941024,37684.19,37929.3,102.6,489.21
78,BO,8.0,500,none,uniform,mean,72.19738898277282,71.555,72.932,0.477,37661.77001474604,37262.38,38008.7,256.68,495.56
79,BO,1.0,1,zstd,latest,mean,71.88446202278138,71.224,72.486,0.471,37874.76765619368,37564.75,38199.83,244.81,501.89
80,BO,8.0,1,snappy,zipfian,mean,72.5925570487976,72.393,72.945,0.208,37425.41881276404,37219.58,37607.79,135.09,508.28
81,BO,4.0,100,zstd,zipfian,mean,72.73456983566284,72.361,73.227,0.289,37391.92183034051,37152.06,37601.72,157.39,514.68
82,BO,0.25,500,none,uniform,mean,72.1853145122528,71.959,72.337,0.132,37695.85145325727,37640.42,37820.59,67.54,521.03
83,BO,8.0,100,none,uniform,mean,72.43067269325256,72.126,72.921,0.284,37531.74099351531,37256.96,37719.72,161.57,527.4
84,BO,8.0,1,zstd,uniform,mean,72.6099006175995,72.404,72.866,0.15,37474.91019211434,37323.22,37602.27,93.78,533.79
85,BO,8.0,500,zstd,zipfian,mean,72.45895261764527,72.14,73.117,0.401,37569.939755488886,37217.96,37750.87,213.92,540.17
86,BO,2.0,1,none,zipfian,mean,72.35022330284119,71.775,72.609,0.319,37583.650111082345,37435.66,37880.47,162.93,546.54
87,BO,2.0,500,none,zipfian,mean,72.49489135742188,72.091,73.01,0.322,37492.90664736398,37225.53,37713.06,170.76,552.91
88,BO,0.25,500,none,latest,mean,71.92286405563354,71.476,72.342,0.33,37888.04945424103,37669.22,38053.33,154.23,559.24
89,BO,0.25,500,zstd,uniform,mean,73.08360614776612,72.672,73.575,0.355,37211.01144405642,36970.18,37422.52,188.17,565.67
90,BO,8.0,500,snappy,uniform,mean,72.1860716342926,71.81,72.354,0.211,37647.526361191616,37547.67,37855.26,116.06,572.03
