evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
43,0.25,1,zstd,uniform,mean,74.88873739242554,74.612,75.125,0.199,36248.57446901185,36132.16,36386.9,99.58,283.16
44,0.5,1,zstd,uniform,mean,74.86640892028808,74.212,75.303,0.451,36262.50176016819,36029.44,36591.82,238.93,289.73
45,1.0,1,zstd,uniform,mean,75.37873849868774,74.67,76.029,0.573,36102.3633829207,35739.71,36361.05,246.51,296.34
46,2.0,1,zstd,uniform,mean,75.08769626617432,74.821,75.337,0.182,36148.42310672803,36012.72,36278.09,92.78,302.94
47,4.0,1,zstd,uniform,mean,75.04653453826904,74.661,75.354,0.228,36163.48864455717,35993.48,36360.02,119.29,309.52
48,6.0,1,zstd,uniform,mean,75.12017464637756,74.79,75.325,0.184,36126.28168405044,36018.8,36288.89,92.35,316.12
49,8.0,1,zstd,uniform,mean,75.44295115470887,74.615,76.618,0.736,36175.60786387116,35870.42,36380.17,238.52,322.74
50,0.25,100,zstd,uniform,mean,74.84750866889954,74.142,75.481,0.447,36265.33783860666,35925.79,36636.33,235.67,329.31
51,0.5,100,zstd,uniform,mean,76.20373024940491,74.817,80.52,2.172,36105.84486460315,35916.21,36313.09,145.55,335.99
52,1.0,100,zstd,uniform,mean,74.82243504524232,74.195,75.385,0.395,36279.625695365314,35989.93,36596.0,201.68,342.56
53,2.0,100,zstd,uniform,mean,74.73082914352418,74.359,75.246,0.316,36324.52650003162,36053.8,36507.28,161.82,349.12
54,4.0,100,zstd,uniform,mean,75.0322723865509,74.819,75.278,0.168,36171.44700773164,36060.4,36273.98,79.79,355.71
55,6.0,100,zstd,uniform,mean,74.937903881073,74.591,75.375,0.282,36220.031138793354,36004.61,36400.86,141.4,362.28
56,8.0,100,zstd,uniform,mean,75.00933895111083,74.818,75.365,0.192,36185.25138316491,35997.53,36279.12,100.21,368.87
57,0.25,500,zstd,uniform,mean,74.81729168891907,74.534,75.161,0.265,36290.23398628765,36121.97,36428.84,136.95,375.44
58,0.5,500,zstd,uniform,mean,74.73674120903016,74.399,75.054,0.275,36323.85051414966,36164.32,36497.91,142.87,382.0
59,1.0,500,zstd,uniform,mean,75.20496673583985,74.797,75.753,0.341,36090.158413992074,35832.76,36304.85,167.76,388.6
60,2.0,500,zstd,uniform,mean,74.96143112182617,74.578,75.376,0.308,36210.32430378935,36006.13,36406.04,157.06,395.18
61,4.0,500,zstd,uniform,mean,75.03467717170716,74.732,75.438,0.254,36171.741327350035,35971.22,36325.97,130.35,401.77
62,6.0,500,zstd,uniform,mean,75.1927878856659,74.718,75.6,0.369,36090.762482602884,35875.44,36327.52,187.89,408.36
63,8.0,500,zstd,uniform,mean,74.99632482528686,74.583,75.559,0.316,36199.47931289061,35903.62,36427.28,169.28,414.95
64,0.25,1,none,zipfian,mean,80.38677644729614,79.621,80.864,0.461,33673.41543062786,33400.74,34026.72,219.92,421.98
65,0.5,1,none,zipfian,mean,79.04481987953186,78.711,79.393,0.216,34310.03329894725,34144.71,34465.12,101.8,428.9
66,1.0,1,none,zipfian,mean,77.5824649810791,77.026,78.097,0.356,35013.3421524123,34763.24,35296.23,174.54,435.7
