evaluation_id,step,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_path,elapsed_minutes,is_restart
46,7,0.5,1,none,latest,mean,78.17697443962098,77.429,78.941,0.553,34819.94093682705,34360.57,35052.17,246.43,False,282.11,False
47,7,0.5,1,zstd,latest,mean,84.06146306991577,83.611,84.602,0.346,32133.936487417028,31909.85,32313.44,136.77,False,289.45,False
48,7,0.5,1,snappy,zipfian,mean,83.50249848365783,82.568,84.256,0.553,32366.006450262805,32060.51,32754.58,226.74,False,296.74,False
49,8,0.5,1,snappy,latest,mean,80.70260214805603,79.607,81.845,0.834,33561.1338808314,33049.32,34025.36,369.85,False,296.74,False
50,8,2.0,1,snappy,latest,mean,76.1699185848236,75.542,76.674,0.451,35709.26074760147,35468.85,36030.96,219.84,False,296.74,False
51,8,1.0,100,snappy,latest,mean,77.12627801895141,76.884,77.423,0.181,35216.949496292786,35065.61,35359.6,95.08,False,303.5,False
52,8,1.0,1,none,latest,mean,76.90708093643188,76.358,77.761,0.482,35355.66161747754,34919.25,35640.7,246.06,False,310.24,False
53,8,1.0,1,zstd,latest,mean,77.89449229240418,77.023,78.69,0.528,34847.00313125027,34494.37,35261.22,244.47,False,317.07,False
54,8,1.0,1,snappy,zipfian,mean,78.41409215927123,78.021,79.051,0.36,34600.12587626439,34293.37,34793.48,171.73,False,323.93,False
55,9,1.0,1,snappy,latest,mean,77.32085962295533,76.926,78.046,0.393,35119.53446669543,34787.34,35287.47,178.6,False,323.93,False
56,9,4.0,1,snappy,latest,mean,75.90306434631347,75.686,76.562,0.333,35834.19183394949,35517.08,35950.01,160.99,False,323.93,False
57,9,2.0,100,snappy,latest,mean,76.16093020439148,75.898,76.524,0.269,35702.09335269871,35510.67,35838.78,127.86,False,323.93,False
58,9,2.0,1,none,latest,mean,76.2354245185852,75.938,76.969,0.374,35707.47599231922,35344.96,35858.36,184.61,False,330.62,False
59,9,2.0,1,zstd,latest,mean,76.17468385696411,75.473,76.534,0.368,35712.906906231816,35520.04,36053.29,181.05,False,337.3,False
60,9,2.0,1,snappy,zipfian,mean,76.55076212882996,76.225,76.868,0.245,35517.926417836854,35364.98,35661.05,112.25,False,337.3,False
61,10,2.0,1,snappy,latest,mean,76.1699185848236,75.542,76.674,0.451,35709.26074760147,35468.85,36030.96,219.84,False,337.3,False
62,10,6.0,1,snappy,latest,mean,75.65210089683532,75.244,75.955,0.262,35968.795275646495,35822.73,36192.44,134.71,False,337.3,False
63,10,4.0,100,snappy,latest,mean,75.79475011825562,75.408,76.254,0.316,35898.19936837854,35659.07,36094.47,160.69,False,337.3,False
64,10,4.0,1,none,latest,mean,76.25051665306091,75.628,76.842,0.503,35699.8733640722,35395.78,36017.28,248.09,False,337.3,False
65,10,4.0,1,zstd,latest,mean,76.22183179855347,75.396,76.865,0.477,35682.499547136904,35381.6,36082.76,229.12,False,337.3,False
66,10,4.0,1,snappy,zipfian,mean,76.75826044082642,76.22,77.111,0.319,35421.41597660734,35254.42,35694.86,163.66,False,337.3,False
67,11,4.0,1,snappy,latest,mean,75.90306434631347,75.686,76.562,0.333,35834.19183394949,35517.08,35950.01,160.99,False,337.3,False
68,11,8.0,1,snappy,latest,mean,75.8711485862732,75.493,76.063,0.203,35864.362567193086,35761.68,36047.2,99.67,False,337.3,False
69,11,6.0,100,snappy,latest,mean,76.12511696815491,76.018,76.279,0.097,35738.29608012327,35662.54,35805.2,52.97,False,337.3,False
70,11,6.0,1,none,latest,mean,76.49296979904175,75.853,76.873,0.349,35578.66443517935,35403.13,35906.14,176.66,False,337.3,False
71,11,6.0,1,zstd,latest,mean,76.26911001205444,75.939,76.642,0.26,35658.96208114113,35498.86,35815.22,118.38,False,337.3,False
72,11,6.0,1,snappy,zipfian,mean,76.78995189666747,75.804,78.002,0.707,35410.86769742076,34822.83,35905.64,348.0,False,337.3,False
73,12,8.0,1,zstd,latest,mean,76.33804130554199,76.082,76.64,0.24,35617.21909276483,35453.63,35746.7,122.59,True,344.0,True
74,12,6.0,1,zstd,latest,mean,76.26911001205444,75.939,76.642,0.26,35658.96208114113,35498.86,35815.22,118.38,False,344.0,False
75,12,8.0,100,zstd,latest,mean,76.00103502273559,75.457,76.607,0.431,35788.55131402786,35483.11,36077.68,221.7,False,350.66,False
76,12,8.0,1,snappy,latest,mean,75.8711485862732,75.493,76.063,0.203,35864.362567193086,35761.68,36047.2,99.67,False,350.66,False
77,12,8.0,1,zstd,zipfian,mean,77.39737486839294,76.768,78.074,0.418,35103.948254922565,34789.23,35408.51,198.38,False,357.45,False
78,13,6.0,1,snappy,latest,mean,75.65210089683532,75.244,75.955,0.262,35968.795275646495,35822.73,36192.44,134.71,False,357.45,False
79,13,8.0,100,snappy,latest,mean,75.86249737739563,75.208,76.592,0.57,35863.069433132085,35492.95,36198.58,293.03,False,364.1,False
80,13,8.0,1,none,latest,mean,76.32109956741333,75.855,76.716,0.322,35660.188886508506,35462.47,35907.65,171.54,False,370.8,False
81,13,8.0,1,zstd,latest,mean,76.33804130554199,76.082,76.64,0.24,35617.21909276483,35453.63,35746.7,122.59,False,370.8,False
82,13,8.0,1,snappy,zipfian,mean,77.08358902931214,76.606,78.201,0.582,35376.263924069164,35248.11,35514.62,109.62,False,377.55,False
83,14,4.0,1,snappy,latest,mean,75.90306434631347,75.686,76.562,0.333,35834.19183394949,35517.08,35950.01,160.99,False,377.55,False
84,14,8.0,1,snappy,latest,mean,75.8711485862732,75.493,76.063,0.203,35864.362567193086,35761.68,36047.2,99.67,False,377.55,False
85,14,6.0,100,snappy,latest,mean,76.12511696815491,76.018,76.279,0.097,35738.29608012327,35662.54,35805.2,52.97,False,377.55,False
86,14,6.0,1,none,latest,mean,76.49296979904175,75.853,76.873,0.349,35578.66443517935,35403.13,35906.14,176.66,False,377.55,False
87,14,6.0,1,zstd,latest,mean,76.26911001205444,75.939,76.642,0.26,35658.96208114113,35498.86,35815.22,118.38,False,377.55,False
88,14,6.0,1,snappy,zipfian,mean,76.78995189666747,75.804,78.002,0.707,35410.86769742076,34822.83,35905.64,348.0,False,377.55,False
89,15,8.0,100,zstd,zipfian,mean,76.98489608764649,76.811,77.117,0.099,35298.02629147412,35236.95,35363.02,41.13,True,384.3,True
90,15,6.0,100,zstd,zipfian,mean,77.17958116531372,76.843,77.846,0.346,35204.689136741785,34888.79,35374.26,165.42,False,391.07,False
