step,phase,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
47,BO,8.0,1,zstd,latest,mean,81.53647222518921,80.894,81.907,0.387,33148.51097979424,32996.49,33424.29,168.75,337.25
48,BO,6.0,500,zstd,zipfian,mean,82.12543783187866,81.48,83.328,0.687,32900.78357803282,32376.38,33178.67,295.0,344.43
49,BO,0.5,500,snappy,latest,mean,81.72185025215148,81.375,82.379,0.412,33037.360200815005,32751.65,33230.79,182.4,351.58
50,BO,8.0,100,zstd,latest,mean,82.09736647605897,81.475,82.552,0.351,32972.99635483781,32740.34,33168.36,154.73,358.75
51,BO,1.0,100,none,latest,mean,81.77914390563964,80.573,82.216,0.612,33023.726779653385,32846.62,33539.02,260.72,365.91
52,BO,0.25,100,none,uniform,mean,81.35083441734314,81.024,81.801,0.263,33183.1042820225,32985.87,33322.92,113.55,373.02
53,BO,0.5,1,none,uniform,mean,81.75715203285218,81.448,82.167,0.243,33100.56067806671,32957.84,33294.32,114.29,380.17
54,BO,0.25,500,none,uniform,mean,81.4502721786499,80.55,82.025,0.503,33141.86888906164,32903.62,33535.07,217.81,387.3
55,BO,8.0,1,none,zipfian,mean,82.17807760238648,80.904,83.707,1.152,32855.33102863581,32210.98,33395.08,479.64,394.48
56,BO,0.25,500,none,latest,mean,81.25280890464782,80.267,82.207,0.653,33224.74599285234,32819.25,33632.43,272.83,401.59
57,BO,0.25,500,none,zipfian,mean,81.42733783721924,80.598,82.248,0.578,33156.25456425313,32817.99,33512.68,245.57,408.71
58,BO,8.0,500,snappy,latest,mean,82.1702766418457,81.195,83.356,0.776,32824.79314475675,32321.19,33224.32,327.09,415.9
59,BO,0.25,100,none,latest,mean,81.47637152671814,80.96,82.176,0.43,33128.65751820135,32828.09,33334.2,180.97,423.02
60,BO,8.0,1,snappy,uniform,mean,82.63777756690979,81.191,86.013,1.753,33052.0689509652,32748.72,33340.71,250.32,430.25
61,BO,8.0,100,snappy,zipfian,mean,81.87845416069031,81.47,82.266,0.297,32940.56973498901,32782.27,33112.58,122.97,437.41
62,BO,1.0,500,zstd,uniform,mean,81.64501910209655,81.076,82.202,0.459,33098.87935754531,32850.42,33360.26,212.63,444.55
63,BO,0.25,500,snappy,uniform,mean,81.69931473731995,81.132,82.159,0.4,33057.1153057675,32854.63,33291.72,171.26,451.69
64,BO,0.25,100,snappy,uniform,mean,81.58422784805298,80.784,82.429,0.692,33097.33061565049,32729.88,33448.75,295.3,458.83
65,BO,0.25,100,snappy,zipfian,mean,81.61029715538025,81.076,82.173,0.381,33076.3176906131,32865.6,33327.26,161.12,465.97
66,BO,1.0,100,snappy,latest,mean,81.90318355560302,81.044,82.461,0.477,32955.63788883646,32709.8,33313.38,205.76,473.13
67,BO,8.0,100,none,latest,mean,81.65177001953126,81.065,82.105,0.364,33059.962230741694,32867.71,33321.62,157.1,480.27
68,BO,0.5,500,none,latest,mean,81.88238430023193,80.762,82.587,0.65,32965.66422933694,32673.48,33441.32,276.67,487.43
69,BO,6.0,1,snappy,zipfian,mean,81.44337854385375,80.566,82.489,0.765,33221.46483250674,32913.77,33513.56,245.04,494.56
70,BO,4.0,1,snappy,zipfian,mean,81.21494088172912,79.78,82.02,0.879,33232.329288227615,32889.24,33847.66,375.77,501.66
71,BO,0.25,500,zstd,latest,mean,84.89711041450501,83.674,85.603,0.683,31762.278002085357,31449.25,32243.03,275.95,509.07
72,BO,4.0,1,zstd,latest,mean,82.12625198364258,81.72,82.839,0.397,32903.58776979912,32619.78,33063.83,155.01,516.25
73,BO,2.0,1,none,latest,mean,82.100914144516,81.43,82.953,0.57,32886.72514583296,32513.72,33208.37,253.8,523.43
74,BO,8.0,500,none,latest,mean,81.598708486557,80.729,82.423,0.638,33091.12308895546,32739.5,33455.31,272.79,530.57
75,BO,0.25,100,snappy,latest,mean,81.45140514373779,80.841,81.919,0.359,33146.92665994125,32942.15,33415.57,155.88,537.7
76,BO,0.25,100,zstd,uniform,mean,87.40408363342286,86.933,88.295,0.471,30780.214429982065,30464.22,30953.76,167.89,545.32
77,BO,4.0,500,zstd,uniform,mean,81.95360445976257,81.519,82.42,0.351,32974.9458343303,32773.45,33172.22,154.27,552.48
78,BO,8.0,1,none,uniform,mean,81.61505308151246,80.81,82.787,0.66,33091.57958966651,32584.9,33425.17,283.82,559.62
79,BO,4.0,100,snappy,uniform,mean,81.27348890304566,80.793,81.617,0.308,33205.45997888015,33050.17,33414.26,133.53,566.73
80,BO,1.0,500,none,zipfian,mean,81.5422661781311,81.31,81.755,0.188,33201.017580999134,33026.29,33465.8,148.12,573.87
