step,phase,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
47,BO,0.5,100,none,uniform,mean,74.53041863441467,73.909,75.437,0.504,36443.94184911746,35972.23,36777.91,264.82,314.31
48,BO,0.5,500,zstd,uniform,mean,75.21706199645996,74.875,75.579,0.241,36085.75332313041,35891.04,36264.73,126.75,320.91
49,BO,0.5,1,snappy,uniform,mean,74.794593000412,74.12,75.089,0.363,36302.47297719598,36138.8,36661.51,193.29,327.48
50,BO,6.0,500,zstd,uniform,mean,75.00373749732971,74.504,75.405,0.325,36192.83213447571,36010.18,36441.28,158.93,334.07
51,BO,4.0,100,none,latest,mean,76.32553153038025,75.951,76.746,0.306,35643.99414307608,35459.52,35853.84,135.92,340.77
52,BO,0.5,500,none,uniform,mean,75.19785079956054,74.418,75.574,0.442,36125.12670627063,35905.13,36513.01,219.19,347.37
53,BO,6.0,500,none,uniform,mean,75.09088053703309,74.199,75.763,0.51,36241.26401153079,36040.09,36620.6,197.63,353.97
54,BO,1.0,100,none,uniform,mean,74.88977684974671,74.267,75.185,0.325,36266.97413688339,36118.91,36576.13,159.81,360.54
55,BO,6.0,100,none,uniform,mean,75.24861512184142,74.725,75.547,0.283,36086.92351731758,35932.35,36359.5,147.23,367.15
56,BO,8.0,1,zstd,latest,mean,75.81811094284058,75.263,76.407,0.459,35864.35436165213,35573.34,36145.94,222.03,373.81
57,BO,8.0,1,snappy,latest,mean,76.13299508094788,75.497,76.563,0.375,35728.36999160768,35510.18,36054.31,191.74,380.49
58,BO,4.0,500,snappy,latest,mean,75.9466658592224,75.478,76.325,0.36,35823.462662409474,35623.83,36072.09,182.66,387.15
59,BO,8.0,100,zstd,uniform,mean,74.90634822845459,74.046,75.498,0.52,36262.663969108704,35931.34,36687.26,251.05,393.73
60,BO,1.0,1,none,latest,mean,76.8250063419342,76.084,77.33,0.468,35383.23860389805,35149.87,35754.19,218.89,400.47
61,BO,4.0,500,snappy,uniform,mean,75.04688034057617,74.701,75.459,0.255,36198.518095543994,35971.73,36340.41,140.86,407.06
62,BO,0.5,1,zstd,uniform,mean,74.84124274253845,74.231,75.251,0.384,36285.765975554175,36094.47,36597.05,189.52,413.64
63,BO,4.0,500,zstd,latest,mean,76.18323106765747,75.829,76.897,0.392,35672.27998240659,35340.57,35865.9,205.65,420.32
64,BO,8.0,100,none,zipfian,mean,76.98467707633972,76.563,77.156,0.215,35328.06763386125,35252.48,35556.54,115.47,427.08
65,BO,4.0,1,none,uniform,mean,75.22388200759887,74.403,76.457,0.72,36135.811508098515,35604.51,36522.91,324.95,433.68
66,BO,6.0,1,snappy,uniform,mean,74.83954224586486,74.43,75.314,0.29,36278.20702195818,36030.46,36485.95,150.7,440.26
67,BO,2.0,100,zstd,uniform,mean,76.26034798622132,74.77,80.279,2.062,36075.04346318141,35656.09,36318.75,234.5,446.95
68,BO,1.0,100,snappy,uniform,mean,74.6034996509552,74.198,74.961,0.299,36399.18037682492,36207.8,36613.8,159.32,453.5
69,BO,2.0,1,zstd,uniform,mean,75.10948987007141,74.502,75.701,0.457,36145.177432895915,35836.77,36448.54,231.66,460.1
70,BO,0.25,1,none,zipfian,mean,80.60301198959351,80.321,80.988,0.24,33672.600631404704,33422.55,34082.44,225.71,467.15
71,BO,4.0,1,none,latest,mean,76.35563836097717,75.948,76.728,0.3,35631.76859416476,35468.36,35844.3,157.44,473.86
72,BO,0.5,1,none,uniform,mean,75.17796282768249,74.354,75.952,0.507,36196.062990021426,35847.31,36518.74,253.8,480.46
73,BO,4.0,500,none,uniform,mean,74.92583327293396,74.354,75.542,0.454,36259.85685048789,35945.46,36531.77,224.46,487.04
74,BO,0.5,100,zstd,uniform,mean,75.18817110061646,74.344,75.775,0.475,36109.90660091974,35841.79,36531.24,232.66,493.64
75,BO,6.0,1,zstd,uniform,mean,75.07946720123292,74.791,75.355,0.218,36160.982835477625,36029.44,36306.91,110.76,500.24
76,BO,4.0,500,none,latest,mean,76.4545346736908,76.197,76.743,0.217,35577.61833645515,35454.61,35672.98,88.88,506.95
77,BO,1.0,1,snappy,uniform,mean,75.20280013084411,74.712,75.553,0.313,36116.27593802615,35914.2,36336.28,137.74,513.55
78,BO,0.5,500,snappy,uniform,mean,74.83211517333984,74.198,75.129,0.338,36283.85243231543,36138.8,36610.13,173.18,520.12
79,BO,0.25,500,snappy,uniform,mean,75.2420859336853,74.887,75.843,0.35,36078.528828257346,35781.68,36261.65,174.77,526.73
80,BO,1.0,500,snappy,uniform,mean,74.68042182922363,74.174,75.096,0.315,36361.451965556495,36142.88,36615.89,160.54,533.29
81,BO,4.0,500,zstd,uniform,mean,75.14154028892517,74.293,77.388,1.137,36298.68664371927,35831.26,36573.0,252.36,539.89
82,BO,2.0,1,none,uniform,mean,75.19515957832337,74.557,75.729,0.449,36120.968551091675,35834.77,36453.22,228.78,546.5
83,BO,8.0,100,zstd,zipfian,mean,77.41169958114624,77.063,77.745,0.242,35083.39722412393,34930.21,35282.61,117.11,553.29
84,BO,4.0,1,snappy,uniform,mean,75.12902998924255,74.794,75.838,0.37,36151.186906476054,35860.87,36299.18,153.37,559.89
85,BO,8.0,1,none,zipfian,mean,77.22945103645324,76.045,77.839,0.657,35196.46145401938,34930.68,35675.46,275.04,566.66
86,BO,4.0,100,none,uniform,mean,75.41614103317261,75.135,75.922,0.271,36037.30415966058,35873.94,36140.84,95.5,573.28
87,BO,8.0,100,snappy,latest,mean,77.13965892791748,76.023,81.392,2.127,35725.41998718483,35650.13,35792.18,49.92,580.05
88,BO,6.0,1,none,uniform,mean,74.95003471374511,74.332,75.36,0.38,36267.64986374817,36030.46,36579.79,187.33,586.64
89,BO,1.0,100,none,latest,mean,76.81216449737549,76.043,78.434,0.84,35491.9385964929,35098.3,35791.18,233.95,593.37
90,BO,1.0,500,none,uniform,mean,75.1882423400879,74.682,75.583,0.312,36130.61506667565,35898.59,36351.76,146.24,599.98
