evaluation_id,step,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_path,elapsed_minutes,is_restart
63,8,6.0,1,zstd,latest,mean,83.35068984031678,81.671,87.94,2.348,32855.341740741664,32501.33,33108.3,213.02,False,315.04,False
64,8,0.25,1,zstd,uniform,mean,88.01638150215149,86.867,89.627,0.909,30576.879884343885,30006.09,31004.0,326.52,False,322.71,False
65,8,0.5,1,zstd,uniform,mean,85.90598964691162,85.25,86.12,0.334,31489.276577291534,31285.52,31893.16,234.5,False,330.2,False
66,8,1.0,1,zstd,uniform,mean,81.72278361320495,81.045,82.401,0.506,33102.46646358888,32933.67,33352.01,183.58,False,337.34,False
67,8,2.0,1,zstd,uniform,mean,81.93319602012635,81.349,83.063,0.622,32983.45549731596,32523.22,33232.51,256.59,False,344.5,False
68,9,4.0,1,zstd,uniform,mean,81.30446109771728,80.832,82.254,0.502,33316.85403013106,32899.39,33540.78,221.23,True,351.61,False
69,8,8.0,1,zstd,uniform,mean,82.79235639572144,81.822,84.486,0.944,32808.15988077012,32603.57,33038.65,167.41,False,358.85,False
70,9,4.0,100,zstd,uniform,mean,83.21712603569031,81.097,88.009,2.463,33021.4867612969,32774.29,33335.5,180.91,False,366.11,False
71,9,4.0,500,zstd,uniform,mean,81.6310227394104,81.059,82.316,0.489,33231.700809766524,33110.44,33359.83,101.78,False,373.25,False
72,9,4.0,1,none,uniform,mean,81.55085949897766,80.825,82.17,0.481,33156.34365549084,32912.5,33429.09,170.47,False,373.25,False
73,9,4.0,1,snappy,uniform,mean,82.00395359992982,81.261,82.625,0.48,32974.767199728696,32714.82,33214.83,162.21,False,380.42,False
74,9,4.0,1,zstd,zipfian,mean,81.3454978942871,80.791,81.972,0.459,33215.469276025644,32896.85,33460.99,209.73,False,387.53,False
75,9,4.0,1,zstd,latest,mean,82.4586094379425,81.602,82.859,0.482,32767.388200946727,32588.22,33139.16,208.37,False,394.73,False
76,9,0.25,1,zstd,uniform,mean,88.01638150215149,86.867,89.627,0.909,30576.879884343885,30006.09,31004.0,326.52,False,394.73,False
77,9,0.5,1,zstd,uniform,mean,85.90598964691162,85.25,86.12,0.334,31489.276577291534,31285.52,31893.16,234.5,False,394.73,False
78,9,1.0,1,zstd,uniform,mean,81.72278361320495,81.045,82.401,0.506,33102.46646358888,32933.67,33352.01,183.58,False,394.73,False
79,9,2.0,1,zstd,uniform,mean,81.93319602012635,81.349,83.063,0.622,32983.45549731596,32523.22,33232.51,256.59,False,394.73,False
80,9,6.0,1,zstd,uniform,mean,81.48597455024719,81.234,81.789,0.221,33254.30249710256,33038.23,33548.69,164.62,False,394.73,False
81,9,8.0,1,zstd,uniform,mean,82.79235639572144,81.822,84.486,0.944,32808.15988077012,32603.57,33038.65,167.41,False,394.73,False
82,9,4.0,100,zstd,uniform,mean,83.21712603569031,81.097,88.009,2.463,33021.4867612969,32774.29,33335.5,180.91,False,394.73,False
83,9,4.0,500,zstd,uniform,mean,81.6310227394104,81.059,82.316,0.489,33231.700809766524,33110.44,33359.83,101.78,False,394.73,False
84,9,4.0,1,none,uniform,mean,81.55085949897766,80.825,82.17,0.481,33156.34365549084,32912.5,33429.09,170.47,False,394.73,False
85,9,4.0,1,snappy,uniform,mean,82.00395359992982,81.261,82.625,0.48,32974.767199728696,32714.82,33214.83,162.21,False,394.73,False
86,9,4.0,1,zstd,zipfian,mean,81.3454978942871,80.791,81.972,0.459,33215.469276025644,32896.85,33460.99,209.73,False,394.73,False
87,9,4.0,1,zstd,latest,mean,82.4586094379425,81.602,82.859,0.482,32767.388200946727,32588.22,33139.16,208.37,False,394.73,False
88,10,1.0,500,zstd,uniform,mean,82.63311734199524,81.644,83.562,0.619,32803.45511014717,32307.32,33132.3,297.32,True,401.95,True
89,10,0.25,500,zstd,uniform,mean,88.25482063293457,86.981,89.341,0.851,30492.68592871581,30102.77,30968.37,313.36,False,409.64,False
90,10,0.5,500,zstd,uniform,mean,85.87463908195495,83.484,87.322,1.32,31445.14869878359,30859.36,32318.74,478.17,False,417.13,False
