evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,elapsed_minutes
43,0.25,1,zstd,uniform,mean,73.12348246574402,72.446,73.637,0.428,37177.52776475051,36922.72,37476.21,200.35,273.75
44,0.5,1,zstd,uniform,mean,72.76585640907288,72.379,73.193,0.315,37369.28082548441,37121.35,37585.71,176.84,280.15
45,1.0,1,zstd,uniform,mean,72.66598916053772,72.159,73.127,0.343,37434.15323602959,37182.82,37725.84,194.91,286.54
46,2.0,1,zstd,uniform,mean,72.61052684783935,71.574,73.503,0.715,37453.356251208854,36974.98,38022.81,387.82,292.92
47,4.0,1,zstd,uniform,mean,72.5590440273285,72.035,73.13,0.375,37490.86226006117,37180.66,37781.52,207.54,299.3
48,6.0,1,zstd,uniform,mean,72.49626746177674,71.957,73.164,0.422,37517.11953584458,37181.2,37797.69,216.94,305.68
49,8.0,1,zstd,uniform,mean,72.40861277580261,71.528,72.786,0.465,37565.43497618166,37368.44,38049.94,252.2,312.04
50,0.25,100,zstd,uniform,mean,72.86834945678712,72.197,73.526,0.557,37328.71909690446,36937.11,37690.85,308.6,318.45
51,0.5,100,zstd,uniform,mean,72.8978681564331,72.467,73.119,0.249,37404.077350507476,37192.0,37713.06,195.37,324.86
52,1.0,100,zstd,uniform,mean,72.18729934692382,71.411,72.836,0.456,37687.168949391285,37328.12,38107.15,249.56,331.21
53,2.0,100,zstd,uniform,mean,72.64341750144959,72.147,72.938,0.281,37439.44503659294,37272.14,37710.28,151.63,337.59
54,4.0,100,zstd,uniform,mean,73.296342420578,71.822,77.252,1.994,37635.17577433543,37492.13,37885.51,139.34,344.04
55,6.0,100,zstd,uniform,mean,72.47834730148315,72.289,72.708,0.146,37541.529072305726,37402.84,37676.42,96.55,350.41
56,8.0,100,zstd,uniform,mean,72.46903114318847,72.0,72.821,0.298,37531.23308131619,37325.95,37793.79,166.74,356.78
