evaluation_id,step,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_path,elapsed_minutes,is_restart
63,10,0.25,1,zstd,latest,mean,84.62388567924499,83.414,86.236,0.957,31882.916700072317,31264.88,32337.52,368.98,False,379.96,False
64,10,0.25,1,snappy,zipfian,mean,82.15245904922486,81.599,82.617,0.445,32856.65781459344,32663.06,33101.88,190.22,False,379.96,False
65,11,6.0,500,none,latest,mean,82.07897200584412,80.495,83.619,1.243,32983.87353283868,32240.19,33568.05,462.1,True,387.13,True
66,11,4.0,500,none,latest,mean,82.06534786224366,81.557,82.545,0.321,32883.37329185435,32677.24,33093.75,134.71,False,394.3,False
67,11,8.0,500,none,latest,mean,81.75151333808898,80.685,82.585,0.706,33022.4648194991,32663.89,33481.56,305.35,False,401.45,False
68,11,6.0,100,none,latest,mean,81.66716241836548,80.984,82.338,0.463,33056.9105552561,32767.16,33347.66,198.66,False,408.59,False
69,11,6.0,500,snappy,latest,mean,81.78171014785767,81.035,82.427,0.506,32987.27496349434,32713.15,33299.08,215.73,False,415.74,False
70,12,6.0,500,none,zipfian,mean,81.84317946434021,80.744,84.391,1.324,33257.309612722514,33012.24,33420.8,143.7,True,422.89,False
71,12,4.0,500,none,zipfian,mean,81.33435120582581,80.864,81.854,0.398,33198.26988525235,32983.32,33398.56,166.79,False,430.0,False
72,12,8.0,500,none,zipfian,mean,81.94969916343689,81.287,82.956,0.562,32938.4238603256,32517.85,33217.85,236.24,False,437.16,False
73,12,6.0,100,none,zipfian,mean,81.84663982391358,80.975,82.668,0.548,32984.086394195925,32645.57,33362.0,231.44,False,444.32,False
74,12,6.0,500,snappy,zipfian,mean,81.50916442871093,81.246,81.764,0.182,33106.719482772816,33019.48,33204.92,66.07,False,451.44,False
75,12,6.0,500,none,uniform,mean,81.38971090316772,80.874,81.944,0.427,33170.289614104644,32937.06,33393.34,181.01,False,458.56,False
76,12,6.0,500,none,latest,mean,82.07897200584412,80.495,83.619,1.243,32983.87353283868,32240.19,33568.05,462.1,False,458.56,False
77,13,6.0,100,snappy,zipfian,mean,80.95874414443969,80.689,81.134,0.151,33342.847578219415,33272.68,33464.05,67.55,True,465.64,True
78,13,4.0,100,snappy,zipfian,mean,81.58475165367126,79.985,82.491,0.856,33074.840398585904,32683.49,33766.41,370.01,False,465.64,False
79,13,8.0,100,snappy,zipfian,mean,81.57206082344055,81.125,82.083,0.354,33093.935036507864,32856.32,33263.17,142.43,False,465.64,False
80,13,6.0,1,snappy,zipfian,mean,81.21927189826965,80.115,82.302,0.807,33237.82981232451,32774.71,33713.93,345.61,False,472.74,False
81,13,6.0,500,snappy,zipfian,mean,81.50916442871093,81.246,81.764,0.182,33106.719482772816,33019.48,33204.92,66.07,False,472.74,False
82,13,6.0,100,none,zipfian,mean,81.84663982391358,80.975,82.668,0.548,32984.086394195925,32645.57,33362.0,231.44,False,472.74,False
83,13,6.0,100,zstd,zipfian,mean,82.21658244132996,81.328,83.03,0.669,32867.14607161062,32526.11,33245.89,280.72,False,472.74,False
84,13,6.0,100,snappy,uniform,mean,81.36556329727173,80.585,82.402,0.72,33231.65519453872,32725.69,33822.62,394.19,False,472.74,False
85,13,6.0,100,snappy,latest,mean,81.56907410621643,80.585,82.938,0.776,33076.56280568028,32489.37,33496.02,331.04,False,479.87,False
86,14,1.0,100,snappy,latest,mean,82.14636888504029,81.484,82.602,0.382,32833.06208297323,32631.42,33124.58,167.09,True,487.05,True
87,14,0.5,100,snappy,latest,mean,81.86999063491821,81.596,82.497,0.333,32956.01632838768,32686.83,33077.5,144.89,False,494.21,False
88,14,2.0,100,snappy,latest,mean,81.86227760314941,81.541,82.356,0.304,32947.4199687088,32734.06,33091.61,131.54,False,494.21,False
89,14,1.0,1,snappy,latest,mean,81.37499403953552,80.168,82.057,0.651,33163.43580103612,32865.18,33676.68,277.21,False,501.32,False
90,14,1.0,500,snappy,latest,mean,81.91565284729003,81.36,82.739,0.517,32980.22180688894,32567.07,33169.64,221.29,False,508.48,False
