generation,evaluation_id,cache_GB,journal_ms,compressor,distribution,repetition,duration_avg,duration_min,duration_max,duration_std,throughput_avg,throughput_min,throughput_max,throughput_std,is_best_of_gen,elapsed_minutes
6,61,2.0,500,none,uniform,mean,74.9276155948639,74.316,75.531,0.389,36245.94432534424,35997.53,36534.89,173.1,False,308.74
6,62,1.0,500,snappy,latest,mean,77.01300430297852,76.313,77.768,0.589,35355.90225385462,34987.02,35628.3,212.24,False,308.74
6,63,2.0,500,snappy,uniform,mean,74.39976196289062,73.883,74.933,0.352,36504.36755217703,36221.12,36806.99,195.27,True,315.27
6,64,8.0,100,zstd,zipfian,mean,77.0260018825531,76.739,77.257,0.184,35259.22831014288,35150.35,35433.51,109.12,False,322.02
6,65,4.0,100,zstd,zipfian,mean,77.15486345291137,76.61,77.495,0.314,35220.5655193523,35049.77,35491.47,154.45,False,328.79
6,66,8.0,1,zstd,uniform,mean,75.00603919029236,74.683,75.311,0.218,36186.32039133341,36035.53,36348.15,108.35,False,328.79
7,67,2.0,500,snappy,uniform,mean,74.39976196289062,73.883,74.933,0.352,36504.36755217703,36221.12,36806.99,195.27,True,328.79
7,68,8.0,100,snappy,latest,mean,76.07814841270446,75.335,76.651,0.462,35754.24318922381,35464.92,36146.96,235.92,False,335.46
7,69,1.0,500,zstd,uniform,mean,75.14490690231324,74.581,75.523,0.327,36143.11196060329,35999.04,36398.79,140.06,False,342.06
7,70,4.0,1,snappy,zipfian,mean,76.75478496551514,76.119,77.408,0.45,35403.472839047776,35106.49,35624.33,191.04,False,348.79
7,71,6.0,1,none,uniform,mean,75.03544692993164,74.662,75.603,0.334,36201.71702670424,35929.82,36411.74,167.77,False,348.79
7,72,1.0,1,none,zipfian,mean,77.74439778327942,77.213,78.371,0.385,34948.39944939826,34654.54,35191.91,180.11,False,355.6
7,73,2.0,500,snappy,zipfian,mean,76.82977609634399,76.289,77.172,0.316,35380.435952410146,35225.8,35626.81,145.89,False,362.33
7,74,1.0,500,zstd,zipfian,mean,79.60156421661377,79.064,80.263,0.413,34054.77853166754,33758.84,34319.57,192.18,False,362.33
7,75,8.0,500,snappy,latest,mean,75.86613283157348,75.282,76.386,0.369,35863.31218664905,35614.42,36147.98,183.14,False,368.99
7,76,1.0,100,zstd,uniform,mean,74.82630701065064,74.157,75.288,0.373,36272.38049527472,36022.35,36624.27,197.48,False,368.99
7,77,4.0,1,none,uniform,mean,75.20252294540406,74.778,75.582,0.275,36131.096500926426,35922.26,36337.31,155.08,False,375.59
8,78,2.0,500,snappy,uniform,mean,74.39976196289062,73.883,74.933,0.352,36504.36755217703,36221.12,36806.99,195.27,True,375.59
8,79,8.0,1,zstd,uniform,mean,75.00603919029236,74.683,75.311,0.218,36186.32039133341,36035.53,36348.15,108.35,False,375.59
8,80,1.0,500,snappy,latest,mean,77.01300430297852,76.313,77.768,0.589,35355.90225385462,34987.02,35628.3,212.24,False,375.59
8,81,8.0,100,zstd,latest,mean,76.56297359466552,76.12,77.006,0.373,35495.1935767509,35286.01,35706.81,175.31,False,375.59
8,82,2.0,1,none,latest,mean,76.82709379196167,76.082,77.77,0.695,35398.96975513304,34963.6,35781.68,360.32,False,382.32
8,83,0.5,500,none,latest,mean,78.10564379692077,77.822,78.659,0.295,34830.93506310999,34751.45,34880.71,43.87,False,389.17
8,84,1.0,500,none,uniform,mean,75.22714018821716,74.586,76.126,0.557,36081.72428424843,35644.17,36399.31,275.58,False,389.17
8,85,1.0,1,snappy,latest,mean,76.89312448501587,76.554,77.397,0.296,35329.40216078711,35097.82,35490.98,137.99,False,395.91
8,86,0.25,1,snappy,latest,mean,86.32637362480163,85.896,86.97,0.398,31247.812843380845,31002.87,31430.33,156.75,False,395.91
8,87,2.0,500,none,zipfian,mean,77.41532487869263,76.729,77.734,0.381,35114.7646181033,34956.44,35460.5,193.1,False,402.69
8,88,4.0,1,none,uniform,mean,75.20252294540406,74.778,75.582,0.275,36131.096500926426,35922.26,36337.31,155.08,False,402.69
9,89,2.0,500,snappy,uniform,mean,74.39976196289062,73.883,74.933,0.352,36504.36755217703,36221.12,36806.99,195.27,True,402.69
9,90,6.0,1,none,uniform,mean,75.03544692993164,74.662,75.603,0.334,36201.71702670424,35929.82,36411.74,167.77,False,402.69
